Social media post (text),Screenshot,Image,Linked media,Notes,Antisemitic (Y/N)
"Must read. Ukrainian man sharing his experiences with the war. Very instructive for understanding what to potentially expect if war breaks out and how to prepare. Our entire generation was swallowed and then spitted by revolution, war, cultural Marxism, fake pandemic and then war again. The only thing I want is the retribution to the globalist establishment that caused all of this. h/t: @CIG_telegram via @inmagnaexcitatio https://telegra.ph/What-this-war-of-mine-taught-me-about-the-reality-12-30 @OneStopPatriotNews",,,https://telegra.ph/What-this-war-of-mine-taught-me-about-the-reality-12-30,,Y
"You can quibble over semantics, but what they're referring to is ""Frankfurt School"" postmodernism, which is sometimes labeled ""cultural Marxism.""",,,,,Y
"Eventually, these shows will end up cancelling themselves out. That's in the design of social equity and critical race theory aka Cultural Marxism. The next evolution in entertainment will be A-sexual only clones where they all have the same everything and differences will be extinct.",,,,,Y
"That's great but you forgot to report on how we shouldn't be giving our kids and babies experimental bio weapons labeled as vaccines and how you guys are secretly helping to hide the death toll by the hundreds of thousands and how we should keeping our immunity up with vitamin C and d3 to name a few. Oh that's right, you guys took big pharma money. Well, you won't have to worry about too many kids being around to suffer the cultural Marxism you all have put at the top of the list.",,,,,N
>>410375719 Getting rid of the influence of feminism and cultural marxism would be a good start. Mental illness and loneliness wasn't anywhere near as bad as it'd become as a result of the introduction of these ideologies that are directly hostile to the west.,,,,,Y
"After understanding so many redpills about Jews, Cultural Marxism, The N.W.O. (e.g. the W.E.F., Bilderbergers, Ruling Bloodlines), The Kalergi Plan (White Replacement), etc. I just feel demoralized... What could I do about this for the sake of the world (I know what I must do for myself as an individual)? I don't want to live in a dystopian nightmare-world (which we are not far from as is).",,http://i.4cdn.org/pol/custom-thumbnail.jpg,,,Y
">>410199581 Then how do you explain hippies, LSD and cultural marxism in the 60s?You're really trying to tell me Buddy Holly wasn't part of a plan to create unwanted pregnancies conceived on lover's lookout and start the abortion craze leading to roe v wade?You're really trying to tell me the beatles *didn't* take cues from crowley himself?You're really trying to tell me the Grateful Dead werent part of a plan to fry the brains of the only resistance to the Vietnam War?You're really trying to tell me Liberace, Elton John and Freddy Mercury werent the og poster children for gay acceptance in pop culture?",,,,,N
"The fact that Time Magazine (a magazine I grew up with) would publish such an article just goes to show how low they’ve fallen into the pit of Cultural Marxism. The Leftists believe this shite, remember that.https://nypost.com/2022/12/30/time-magazine-roasted-for-article-suggesting-exercise-has-racist-origins/",,,https://nypost.com/2022/12/30/time-magazine-roasted-for-article-suggesting-exercise-has-racist-origins/,,Y
>>410010499 I unironically side with trannies over femoids. I fucking hate women and their disgusting hypocrisy. They only oppose cultural-Marxism when it effects them and their fellow front-holes. They have no concern whatsoever for the well-being of men or the issues that effect us.,,,,,N
everyone whos old enough to remember occupy knows this but cultural marxism took over education way earlier and was already a problem in the 90s,,,,,Y
